,,,,,,,,,,,,,,,,S,V
,4,,8,5,,7,6,,9,,30,5,,10,0,40,2
,2,,12,3,,5,,60,4,,20,3,-2,,0,80,0
,,60,4,5,,15,,5,6,5,,2,0,,0,65,2
,2,,9,,35,3,4,,12,3,,6,-2,,0,35,0
,5,,10,,5,6,,35,7,6,,4,1,,0,40,3
F(x),60,,,40,,,100,,,50,,,10,,,260,
U,2,,,3,,,4,,,3,,,-2,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,S,V
,7,,8,7,,7,8,,9,,30,5,,10,0,40,4
,3,,12,3,,5,,80,4,1,,3,-4,,0,80,0
,,60,4,4,,15,5,,6,,5,2,-3,,0,65,1
,3,,9,,35,3,4,,12,1,,6,-4,,0,35,0
,6,,10,,5,6,,20,7,,15,4,-1,,0,40,3
F(X),60,,,40,,,100,,,50,,,10,,,260,
U,3,,,3,,,4,,,1,,,-4,,,,
